id_equipo_soporte,nombre_equipo_soporte,id_estado,id_disponibilidad,id_tipo,horas_uso,id_almacen,descripcion
1,Volvo TS441,1,2,4,212,1,Compresor de aire de tornillo rotativo eficiente y silencioso Ideal para aplicaciones industriales que requieren un flujo constante de aire comprimido.
2,Sullair NX530,2,2,4,421,2,Torre de iluminación portátil con luces LED de alta intensidad Ideal para sitios de construcción o eventos al aire libre durante la noche.
3,Kubota RT496,3,1,4,22,1,Compresor de aire industrial resistente y confiable Adecuado para talleres mecánicos y plantas de manufactura.
4,DeWalt XR640,3,1,3,332,3,Generador portátil y silencioso de gasolina Perfecto para proporcionar energía temporal en sitios pequeños y medianos.
5,Sullair DL409,3,2,3,1,1,Generador de respaldo de 8000 vatios Ideal para hogares y pequeñas empresas en caso de cortes de energía prolongados.
6,Komatsu VP322,4,2,1,479,2,Compresor de aire móvil Diseñado para operaciones de construcción y minería Fácil de transportar y de alto rendimiento.
7,Ingersoll Rand GL129,4,2,2,454,3,Sistema de bombeo de agua diésel Robusto y eficiente Ideal para drenaje en áreas inundadas o riego en terrenos agrícolas.
8,Bosch FX633,1,2,3,158,3,Generador industrial de 45 kVA Diseñado para aplicaciones de gran demanda energética en la construcción y minería.
9,Caterpillar PN781,3,2,4,335,1,Torre de iluminación ecológica con bajo consumo de combustible y luces LED Perfecta para trabajos nocturnos y eventos al aire libre.
10,Bosch CM431,3,1,3,308,3,Generador robusto y eficiente Utilizado en aplicaciones agrícolas y de construcción para suministro de energía estable.
11,Kubota XL421,2,2,2,229,2,Compresor de aire de velocidad variable Diseñado para maximizar la eficiencia energética en aplicaciones industriales.
12,Hitachi GX644,3,2,3,79,2,Generador portátil y compacto Ideal para proporcionar energía en emergencias o en lugares con acceso limitado a electricidad.
13,Cummins CX956,2,2,3,439,2,Torre de iluminación LED recargable Diseñada para trabajos en interiores y exteriores con iluminación ajustable y alta durabilidad.
14,Sullair CL834,4,1,1,276,1,Generador portátil alimentado por batería de litio Ideal para herramientas eléctricas y dispositivos en lugares sin acceso a electricidad.
15,Honda FL248,2,1,1,7,3,Sistema de bombeo de alta presión eficiente y confiable Diseñado para aplicaciones de desagüe y control de inundaciones.
16,Makita GT688,1,1,3,271,4,Compresor compacto y portátil Ideal para trabajos de construcción y mantenimiento de maquinaria en el sitio.
17,Yanmar HL987,1,2,3,321,4,Torre de iluminación móvil con iluminación de alta intensidad Adecuada para proyectos de infraestructura y construcción nocturnos.
18,Makita RT353,2,1,5,228,3,Generador industrial de larga duración Ideal para alimentar maquinaria pesada en lugares sin conexión a la red eléctrica.
19,Komatsu CX508,1,1,3,446,1,Sistema de bombeo portátil ligero y de alto rendimiento Adecuado para aplicaciones de agricultura y construcción en zonas rurales.
20,Perkins CL196,3,2,4,402,4,Generador diésel de alta potencia diseñado para suministrar energía de respaldo en áreas remotas o en situaciones de emergencia.
21,Kubota KD462,1,1,5,479,1,Compresor de aire de tornillo rotativo eficiente y silencioso Ideal para aplicaciones industriales que requieren un flujo constante de aire comprimido.
22,Volvo XT627,1,1,2,62,4,Torre de iluminación portátil con luces LED de alta intensidad Ideal para sitios de construcción o eventos al aire libre durante la noche.
23,Cummins LJ627,1,2,4,425,4,Compresor de aire industrial resistente y confiable Adecuado para talleres mecánicos y plantas de manufactura.
24,Bosch CX825,1,2,5,248,2,Generador portátil y silencioso de gasolina Perfecto para proporcionar energía temporal en sitios pequeños y medianos.
25,Atlas Copco TS533,4,1,1,317,4,Generador de respaldo de 8000 vatios Ideal para hogares y pequeñas empresas en caso de cortes de energía prolongados.
26,Makita XR491,4,1,3,294,1,Compresor de aire móvil Diseñado para operaciones de construcción y minería Fácil de transportar y de alto rendimiento.
27,Generac NL513,3,2,3,152,4,Sistema de bombeo de agua diésel Robusto y eficiente Ideal para drenaje en áreas inundadas o riego en terrenos agrícolas.
28,Atlas Copco XL738,2,1,3,24,1,Generador industrial de 45 kVA Diseñado para aplicaciones de gran demanda energética en la construcción y minería.
29,Hitachi ML488,4,2,5,318,3,Torre de iluminación ecológica con bajo consumo de combustible y luces LED Perfecta para trabajos nocturnos y eventos al aire libre.
30,Makita GL942,4,1,1,179,4,Generador robusto y eficiente Utilizado en aplicaciones agrícolas y de construcción para suministro de energía estable.
31,Doosan QL319,3,1,1,204,3,Compresor de aire de velocidad variable Diseñado para maximizar la eficiencia energética en aplicaciones industriales.
32,Honda HV769,3,2,2,368,2,Generador portátil y compacto Ideal para proporcionar energía en emergencias o en lugares con acceso limitado a electricidad.
33,Honda VL547,2,2,2,418,1,Torre de iluminación LED recargable Diseñada para trabajos en interiores y exteriores con iluminación ajustable y alta durabilidad.
34,DeWalt RX795,1,2,1,216,2,Generador portátil alimentado por batería de litio Ideal para herramientas eléctricas y dispositivos en lugares sin acceso a electricidad.
35,Milwaukee ZL528,2,1,3,136,4,Sistema de bombeo de alta presión eficiente y confiable Diseñado para aplicaciones de desagüe y control de inundaciones.
36,Makita HL890,4,2,5,496,2,Compresor compacto y portátil Ideal para trabajos de construcción y mantenimiento de maquinaria en el sitio.
37,Hitachi FL915,1,2,5,362,1,Torre de iluminación móvil con iluminación de alta intensidad Adecuada para proyectos de infraestructura y construcción nocturnos.
38,Kubota PN760,2,1,5,197,1,Generador industrial de larga duración Ideal para alimentar maquinaria pesada en lugares sin conexión a la red eléctrica.
39,Ingersoll Rand GX902,2,2,4,271,4,Sistema de bombeo portátil ligero y de alto rendimiento Adecuado para aplicaciones de agricultura y construcción en zonas rurales.
40,Honda XR605,1,1,1,328,3,Generador diésel de alta potencia diseñado para suministrar energía de respaldo en áreas remotas o en situaciones de emergencia.
41,Yanmar NX391,4,1,5,230,1,Compresor de aire de tornillo rotativo eficiente y silencioso Ideal para aplicaciones industriales que requieren un flujo constante de aire comprimido.
42,Siemens GX516,4,1,2,102,4,Torre de iluminación portátil con luces LED de alta intensidad Ideal para sitios de construcción o eventos al aire libre durante la noche.
43,Bosch CP728,1,1,2,242,1,Compresor de aire industrial resistente y confiable Adecuado para talleres mecánicos y plantas de manufactura.
44,Yanmar CL187,2,2,5,311,4,Generador portátil y silencioso de gasolina Perfecto para proporcionar energía temporal en sitios pequeños y medianos.
45,Atlas Copco CX646,2,2,3,379,2,Generador de respaldo de 8000 vatios Ideal para hogares y pequeñas empresas en caso de cortes de energía prolongados.
46,Doosan TS325,4,1,1,336,1,Compresor de aire móvil Diseñado para operaciones de construcción y minería Fácil de transportar y de alto rendimiento.
47,JCB HL454,1,2,2,448,4,Sistema de bombeo de agua diésel Robusto y eficiente Ideal para drenaje en áreas inundadas o riego en terrenos agrícolas.
48,Liebherr GX698,3,1,2,161,3,Generador industrial de 45 kVA Diseñado para aplicaciones de gran demanda energética en la construcción y minería.
49,Volvo CM213,4,1,4,498,1,Torre de iluminación ecológica con bajo consumo de combustible y luces LED Perfecta para trabajos nocturnos y eventos al aire libre.
50,DeWalt PN195,3,1,3,36,1,Generador robusto y eficiente Utilizado en aplicaciones agrícolas y de construcción para suministro de energía estable.
51,Bosch ML326,3,2,1,428,3,Compresor de aire de velocidad variable Diseñado para maximizar la eficiencia energética en aplicaciones industriales.
52,Volvo VP527,3,2,2,305,4,Generador portátil y compacto Ideal para proporcionar energía en emergencias o en lugares con acceso limitado a electricidad.
53,Perkins LJ211,1,1,5,167,3,Torre de iluminación LED recargable Diseñada para trabajos en interiores y exteriores con iluminación ajustable y alta durabilidad.
54,Makita XA823,4,1,5,398,1,Generador portátil alimentado por batería de litio Ideal para herramientas eléctricas y dispositivos en lugares sin acceso a electricidad.
55,Generac KD556,4,1,2,46,1,Sistema de bombeo de alta presión eficiente y confiable Diseñado para aplicaciones de desagüe y control de inundaciones.
56,Makita NL142,1,1,4,143,2,Compresor compacto y portátil Ideal para trabajos de construcción y mantenimiento de maquinaria en el sitio.
57,Perkins QL126,3,2,4,91,3,Torre de iluminación móvil con iluminación de alta intensidad Adecuada para proyectos de infraestructura y construcción nocturnos.
58,Yanmar XR939,3,1,1,10,4,Generador industrial de larga duración Ideal para alimentar maquinaria pesada en lugares sin conexión a la red eléctrica.
59,Yanmar XB347,4,1,1,139,4,Sistema de bombeo portátil ligero y de alto rendimiento Adecuado para aplicaciones de agricultura y construcción en zonas rurales.
60,Caterpillar KD601,3,2,5,132,1,Generador diésel de alta potencia diseñado para suministrar energía de respaldo en áreas remotas o en situaciones de emergencia.
61,Liebherr YP163,4,1,2,361,4,Compresor de aire de tornillo rotativo eficiente y silencioso Ideal para aplicaciones industriales que requieren un flujo constante de aire comprimido.
62,Yanmar CM153,2,1,3,396,2,Torre de iluminación portátil con luces LED de alta intensidad Ideal para sitios de construcción o eventos al aire libre durante la noche.
63,Liebherr ML525,3,2,4,475,4,Compresor de aire industrial resistente y confiable Adecuado para talleres mecánicos y plantas de manufactura.
64,Caterpillar YP773,1,1,1,429,3,Generador portátil y silencioso de gasolina Perfecto para proporcionar energía temporal en sitios pequeños y medianos.
65,Yanmar VL713,1,1,1,1,2,Generador de respaldo de 8000 vatios Ideal para hogares y pequeñas empresas en caso de cortes de energía prolongados.
66,DeWalt ZT534,4,2,1,370,3,Compresor de aire móvil Diseñado para operaciones de construcción y minería Fácil de transportar y de alto rendimiento.
67,Doosan VP217,4,2,2,54,2,Sistema de bombeo de agua diésel Robusto y eficiente Ideal para drenaje en áreas inundadas o riego en terrenos agrícolas.
68,Perkins SL873,1,2,1,100,3,Generador industrial de 45 kVA Diseñado para aplicaciones de gran demanda energética en la construcción y minería.
69,Liebherr GX707,1,1,4,276,4,Torre de iluminación ecológica con bajo consumo de combustible y luces LED Perfecta para trabajos nocturnos y eventos al aire libre.
70,Atlas Copco ZT341,1,2,2,208,4,Generador robusto y eficiente Utilizado en aplicaciones agrícolas y de construcción para suministro de energía estable.
71,Liebherr DP552,3,2,4,441,1,Compresor de aire de velocidad variable Diseñado para maximizar la eficiencia energética en aplicaciones industriales.
72,Kubota DL191,3,2,5,159,4,Generador portátil y compacto Ideal para proporcionar energía en emergencias o en lugares con acceso limitado a electricidad.
73,Bosch FX139,4,1,2,343,4,Torre de iluminación LED recargable Diseñada para trabajos en interiores y exteriores con iluminación ajustable y alta durabilidad.
74,Kubota SL844,2,2,2,295,1,Generador portátil alimentado por batería de litio Ideal para herramientas eléctricas y dispositivos en lugares sin acceso a electricidad.
75,Siemens ZL314,4,2,5,127,2,Sistema de bombeo de alta presión eficiente y confiable Diseñado para aplicaciones de desagüe y control de inundaciones.
76,Caterpillar DP889,4,1,2,300,4,Compresor compacto y portátil Ideal para trabajos de construcción y mantenimiento de maquinaria en el sitio.
77,Bosch CX241,3,1,5,356,2,Torre de iluminación móvil con iluminación de alta intensidad Adecuada para proyectos de infraestructura y construcción nocturnos.
78,Liebherr HV981,3,1,4,122,4,Generador industrial de larga duración Ideal para alimentar maquinaria pesada en lugares sin conexión a la red eléctrica.
79,Hitachi QL662,3,1,4,383,4,Sistema de bombeo portátil ligero y de alto rendimiento Adecuado para aplicaciones de agricultura y construcción en zonas rurales.
80,Perkins HX331,2,1,4,392,2,Generador diésel de alta potencia diseñado para suministrar energía de respaldo en áreas remotas o en situaciones de emergencia.
81,Mitsubishi HV243,3,1,5,437,4,Compresor de aire de tornillo rotativo eficiente y silencioso Ideal para aplicaciones industriales que requieren un flujo constante de aire comprimido.
82,Mitsubishi LJ900,4,1,3,199,3,Torre de iluminación portátil con luces LED de alta intensidad Ideal para sitios de construcción o eventos al aire libre durante la noche.
83,Honda RX227,3,1,3,124,1,Compresor de aire industrial resistente y confiable Adecuado para talleres mecánicos y plantas de manufactura.
84,Kohler HL767,1,1,1,94,1,Generador portátil y silencioso de gasolina Perfecto para proporcionar energía temporal en sitios pequeños y medianos.
85,Hitachi ZL449,3,1,2,245,1,Generador de respaldo de 8000 vatios Ideal para hogares y pequeñas empresas en caso de cortes de energía prolongados.
86,Sullair ZL659,1,1,3,415,1,Compresor de aire móvil Diseñado para operaciones de construcción y minería Fácil de transportar y de alto rendimiento.
87,Makita CM869,4,2,1,95,3,Sistema de bombeo de agua diésel Robusto y eficiente Ideal para drenaje en áreas inundadas o riego en terrenos agrícolas.
88,Mitsubishi CX246,2,1,4,340,2,Generador industrial de 45 kVA Diseñado para aplicaciones de gran demanda energética en la construcción y minería.
89,Makita XB893,2,2,2,103,3,Torre de iluminación ecológica con bajo consumo de combustible y luces LED Perfecta para trabajos nocturnos y eventos al aire libre.
90,Generac VP842,4,1,1,246,4,Generador robusto y eficiente Utilizado en aplicaciones agrícolas y de construcción para suministro de energía estable.
91,Hyundai DP677,3,2,4,96,1,Compresor de aire de velocidad variable Diseñado para maximizar la eficiencia energética en aplicaciones industriales.
92,Generac XA246,3,2,3,204,1,Generador portátil y compacto Ideal para proporcionar energía en emergencias o en lugares con acceso limitado a electricidad.
93,Cummins XT861,2,1,4,47,4,Torre de iluminación LED recargable Diseñada para trabajos en interiores y exteriores con iluminación ajustable y alta durabilidad.
94,Honda ZT183,1,1,3,81,3,Generador portátil alimentado por batería de litio Ideal para herramientas eléctricas y dispositivos en lugares sin acceso a electricidad.
95,Hyundai GT172,3,1,3,1,4,Sistema de bombeo de alta presión eficiente y confiable Diseñado para aplicaciones de desagüe y control de inundaciones.
96,Honda HV536,2,1,5,150,2,Compresor compacto y portátil Ideal para trabajos de construcción y mantenimiento de maquinaria en el sitio.
97,Volvo XR835,4,1,5,79,2,Torre de iluminación móvil con iluminación de alta intensidad Adecuada para proyectos de infraestructura y construcción nocturnos.
98,Volvo YP860,3,2,4,274,2,Generador industrial de larga duración Ideal para alimentar maquinaria pesada en lugares sin conexión a la red eléctrica.
99,Doosan KD964,1,1,2,15,2,Sistema de bombeo portátil ligero y de alto rendimiento Adecuado para aplicaciones de agricultura y construcción en zonas rurales.
100,Cummins XT988,2,1,2,444,2,Generador diésel de alta potencia diseñado para suministrar energía de respaldo en áreas remotas o en situaciones de emergencia.
